Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
-2.315,0.023,4.812,353.283,137.944,359.261
-2.305,0.021,4.813,353.292,137.961,359.271
-2.3,0.019,4.813,353.525,137.644,359.33
-2.29,0.019,4.815,354.031,136.914,359.289
-2.28,0.019,4.815,353.877,135.957,359.704
-2.268,0.019,4.815,353.658,135.101,359.821
-2.262,0.021,4.814,353.763,134.848,359.72
-2.248,0.022,4.815,353.646,134.767,359.485
-2.223,0.022,4.815,352.992,134.697,359.575
-2.218,0.023,4.815,352.871,134.794,359.557
-2.201,0.023,4.816,352.993,134.721,359.345
-2.178,0.023,4.817,352.91,133.811,359.289
-2.174,0.023,4.817,352.945,133.594,359.294
-2.151,0.022,4.816,352.73,131.87,359.485
-2.143,0.022,4.815,352.607,131.171,359.489
-2.126,0.02,4.813,352.512,129.853,359.589
-2.11,0.019,4.808,352.773,128.584,359.798
-2.095,0.018,4.803,353.038,127.192,0.014
-2.088,0.017,4.802,353.084,126.713,0.029
-2.076,0.016,4.796,352.864,125.089,359.948
-2.053,0.015,4.785,352.654,121.984,0.105
-2.042,0.014,4.776,352.482,119.575,0.288
-2.037,0.014,4.773,352.453,118.821,0.355
-2.01,0.011,4.753,352.594,113.667,0.762
-1.995,0.013,4.743,353.329,110.588,0.903
-1.978,0.014,4.734,353.189,107.834,0.93
-1.955,0.017,4.722,352.846,104.301,1.466
-1.943,0.017,4.717,352.636,102.811,1.704
-1.918,0.016,4.709,352.592,100.129,2.353
-1.912,0.016,4.708,352.781,99.574,2.507
-1.893,0.015,4.706,353.373,97.593,2.893
-1.86,0.013,4.71,354.713,94.038,2.788
-1.847,0.012,4.713,354.975,92.58,2.786
-1.82,0.007,4.723,355.012,89.481,3.017
-1.792,0.005,4.738,354.866,86.22,2.694
-1.769,0.003,4.751,354.159,84.438,2.647
-1.745,0.002,4.766,353.518,83.442,2.174
-1.729,0.002,4.776,352.842,82.618,2.097
-1.697,0.004,4.796,353.647,82.098,0.679
-1.673,0.009,4.81,353.896,81.577,0.258
-1.657,0.014,4.818,353.587,81.001,0.447
-1.632,0.017,4.829,351.362,80.016,0.286
-1.583,0.019,4.848,350.696,77.307,359.904
-1.566,0.02,4.852,350.517,76.548,359.865
-1.541,0.019,4.858,349.817,75.359,359.709
-1.507,0.018,4.861,349.643,73.491,359.676
